gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Maneal	1.295707763906883e-24	-6.818865189751104	0.078	0.169	2.591415527813766e-21
Kif11	2.7723901770267637e-24	-6.134726097652763	0.583	0.176	5.544780354053527e-21
Fam219a	2.9794320348766267e-24	-5.124456947872817	0.115	0.193	5.958864069753253e-21
Lsmem1	3.563939059583153e-24	-8.194114630506153	0.562	0.207	7.127878119166305e-21
Spc24	5.661309919969288e-24	-8.329130759739256	0.693	0.239	1.1322619839938576e-20
Obsl1	1.70367224905675e-23	-8.638274878757269	0.036	0.113	3.4073444981135e-20
Foxb1	2.9569587135462893e-23	-6.841342789920169	0.115	0.212	5.913917427092579e-20
Il2ra	3.3993198489611995e-23	-16.161363545961652	0.323	0.103	6.798639697922399e-20
H2-T3	4.595848994481446e-23	-10.797298131897215	0.651	0.243	9.191697988962891e-20
Ezh2	4.951109041649955e-23	1.4549591209327257	0.714	0.367	9.90221808329991e-20
Cd200r1	6.541125715511718e-23	-11.592538973914223	0.036	0.125	1.3082251431023436e-19
Tex14	7.562698741769211e-23	-6.5824234883652535	0.12	0.21	1.5125397483538422e-19
Ankrd23	9.293967710022078e-23	-5.300806512691296	0.057	0.154	1.8587935420044154e-19
Ctla2a	1.0134979438348665e-22	-14.807955860153506	0.474	0.1	2.026995887669733e-19
Lypd1	1.2024963397340233e-22	-9.981415692939711	0.328	0.178	2.404992679468047e-19
5830411N06Rik	1.3806938637105865e-22	-6.598986583154874	0.161	0.168	2.761387727421173e-19
Zfp661	1.4059621075884906e-22	-13.513917979143889	0.026	0.11	2.811924215176981e-19
Dst	2.3609138910839506e-22	-12.150842583826346	0.083	0.128	4.721827782167901e-19
Ccnd1	4.1747386381462724e-22	-13.727670444044392	0.12	0.199	8.349477276292545e-19
Optn	6.270298877304968e-22	-5.533042196702018	0.099	0.156	1.2540597754609937e-18
Ptma	6.484285768274288e-22	-0.28599293299454054	0.771	0.432	1.2968571536548575e-18
Esco2	8.41433611507117e-22	-5.659778800367167	0.578	0.163	1.682867223014234e-18
Lig1	4.333221570542118e-21	-7.924102830924703	0.667	0.249	8.666443141084236e-18
H2afv	5.094469035051052e-21	-3.227217632379009	0.74	0.391	1.0188938070102104e-17
Hs3st3b1	5.2651811710910924e-21	-5.397302281760738	0.016	0.1	1.0530362342182185e-17
Hist1h4h	5.3917774615789154e-21	-7.681520596963435	0.516	0.184	1.078355492315783e-17
Ankrd55	6.3880719862438286e-21	-11.544068739934714	0.089	0.16	1.2776143972487657e-17
Ccrl2	8.029066719683601e-21	-9.68794772510591	0.089	0.133	1.6058133439367202e-17
Maf	9.672365106643087e-21	-15.066603538635338	0.099	0.116	1.9344730213286174e-17
Masp2	9.777209861361363e-21	2.915856684861142	0.078	0.158	1.9554419722722727e-17
Il17re	1.821677869457394e-20	-10.52431542596978	0.109	0.116	3.643355738914788e-17
Dut	1.9023729397360627e-20	-5.486712908319179	0.724	0.358	3.8047458794721257e-17
Slbp	1.9310101396401185e-20	-8.100794879587081	0.677	0.316	3.862020279280237e-17
Myadml2	2.2444758426371895e-20	-4.77156197304336	0.115	0.21	4.488951685274379e-17
Pcx	2.2668302342665964e-20	-11.195075990896552	0.156	0.162	4.533660468533193e-17
Stmn1	2.306425867599943e-20	-9.191684545865742	0.719	0.348	4.612851735199886e-17
F830016B08Rik	2.773212941719284e-20	-5.547074039928087	0.167	0.265	5.546425883438568e-17
Atp1b2	3.2718102865326024e-20	-6.533556406486218	0.474	0.129	6.543620573065204e-17
Prdm9	3.702641079375203e-20	-7.207039292331789	0.089	0.175	7.405282158750406e-17
Ccl2	3.7250261031733186e-20	-14.26856995718221	0.13	0.148	7.450052206346637e-17
Vdr	3.864020538034072e-20	-5.968593283115142	0.026	0.129	7.728041076068143e-17
Ttc36	4.360964875170764e-20	-5.428558831245676	0.104	0.256	8.721929750341528e-17
Dhrs3	4.50163485908099e-20	-9.577055637266165	0.203	0.178	9.003269718161981e-17
Mboat2	4.845546717874543e-20	-12.312825285294325	0.083	0.181	9.691093435749086e-17
Tmem8b	7.816069840704468e-20	-8.999082148392436	0.089	0.152	1.5632139681408935e-16
Gm527	9.403642742769038e-20	-13.637164032179857	0.031	0.171	1.8807285485538076e-16
Atad2	9.651591646710928e-20	-3.0550817396987764	0.693	0.283	1.9303183293421857e-16
Cdca8	1.3246279289900454e-19	-8.041687605813761	0.562	0.22	2.649255857980091e-16
Slamf1	1.7966726761952174e-19	-13.913530588717759	0.396	0.22	3.593345352390435e-16
Nsg1	2.571219570407405e-19	-0.3818018529358955	0.464	0.179	5.14243914081481e-16
Snx33	3.1932978955938426e-19	-5.159151268132188	0.031	0.141	6.386595791187685e-16
Gabrb1	3.321029570581383e-19	-12.666979516257598	0.583	0.248	6.642059141162766e-16
Cdkl5	3.8428749585873253e-19	-5.492004658176228	0.578	0.231	7.68574991717465e-16
Pfkfb1	4.3161177228054496e-19	-12.796601412898884	0.141	0.225	8.632235445610899e-16
Rasgef1b	5.145071914186211e-19	3.399429716761663	0.516	0.15	1.0290143828372421e-15
Cnbd2	5.613036947730969e-19	2.764439042393324	0.495	0.187	1.122607389546194e-15
Slc26a6	5.885118329106932e-19	-6.086799621269116	0.036	0.162	1.1770236658213863e-15
Cd274	7.213479177064678e-19	-12.690645784537272	0.13	0.138	1.4426958354129355e-15
Lynx1	1.1201359978933536e-18	-13.538937421038243	0.062	0.196	2.240271995786707e-15
Oasl1	1.208242105515818e-18	-10.464253190822772	0.234	0.264	2.4164842110316362e-15
Ina	1.2288196093638694e-18	-14.363235202991312	0.052	0.169	2.457639218727739e-15
Pbld1	1.2761587918938326e-18	-7.085567743365817	0.505	0.187	2.5523175837876652e-15
Ciart	1.3027672470652276e-18	-11.501889605468133	0.062	0.185	2.605534494130455e-15
Mir1931	1.5675586144721399e-18	-10.831455086946033	0.104	0.173	3.1351172289442797e-15
Anp32b	1.9002235467102255e-18	-0.656902754743069	0.75	0.408	3.8004470934204506e-15
Tubb5	2.0660213548487232e-18	-4.533009980486963	0.714	0.392	4.132042709697446e-15
Hes1	2.1676864159522867e-18	-9.296360017442566	0.417	0.182	4.335372831904573e-15
Csgalnact1	2.7697678371542284e-18	-13.945367910274646	0.109	0.184	5.539535674308457e-15
Comt	4.185171663265325e-18	-12.39443486751398	0.516	0.227	8.370343326530651e-15
Adam4	4.524437359456892e-18	-6.060649446511141	0.068	0.222	9.048874718913785e-15
Smc4	5.5900538878135894e-18	-2.4425653232844735	0.682	0.382	1.1180107775627179e-14
Ccl3	6.689697726057364e-18	-13.536930031257846	0.078	0.134	1.3379395452114728e-14
Mogat1	8.04690542516934e-18	-7.296720292392754	0.12	0.24	1.6093810850338678e-14
Icos	9.748530671374502e-18	-14.047316617004764	0.062	0.116	1.9497061342749005e-14
Ccna2	1.445227052823051e-17	-7.206879756265102	0.516	0.201	2.890454105646102e-14
Itgam	1.6767943173409577e-17	2.2559101943503066	0.375	0.102	3.3535886346819154e-14
Lepr	2.154812897026415e-17	-6.612646228067179	0.057	0.159	4.30962579405283e-14
Olig3	2.3334663258486833e-17	-6.7881244634537445	0.141	0.215	4.6669326516973664e-14
Hspa1b	3.222964694377636e-17	-5.316320101087236	0.052	0.105	6.445929388755272e-14
Epcam	4.658908903455723e-17	-10.954905701519007	0.24	0.14	9.317817806911445e-14
H2-T22	5.05912169283593e-17	-6.117629545937525	0.661	0.314	1.011824338567186e-13
Hmgn2	5.58413543221509e-17	-6.92237396514789	0.63	0.344	1.1168270864430182e-13
Nphp3	7.095687135781396e-17	-8.656203127688036	0.068	0.114	1.4191374271562792e-13
Ranbp1	9.052376213599578e-17	-1.2643070210632956	0.698	0.376	1.8104752427199155e-13
Vps37d	1.0006863770801997e-16	-7.094831618873492	0.01	0.102	2.0013727541603995e-13
Lrsam1	1.0342092675464609e-16	-7.834845861515694	0.146	0.212	2.0684185350929218e-13
Gpr157	1.0705974487915965e-16	-6.781048690697855	0.078	0.162	2.141194897583193e-13
Gm7102	1.0882495808804504e-16	-5.245321769164464	0.078	0.211	2.176499161760901e-13
Cpa3	1.09651896992423e-16	-7.699336928530682	0.417	0.122	2.19303793984846e-13
Tmpo	1.149933784905598e-16	-4.991944009946158	0.651	0.326	2.299867569811196e-13
Cenpf	1.297527747693007e-16	-3.909950557808976	0.406	0.171	2.5950554953860137e-13
Hells	1.3878376260513344e-16	-3.777393914732411	0.625	0.263	2.775675252102669e-13
Ppm1e	1.637108846637908e-16	-12.924075904308268	0.167	0.206	3.274217693275816e-13
Vaultrc5	1.9529050547251025e-16	-13.370491968122359	0.052	0.193	3.905810109450205e-13
Tmem106a	2.416596040169248e-16	-12.583915735768688	0.031	0.121	4.833192080338496e-13
Oasl2	2.911828556349599e-16	-12.833614553268596	0.146	0.124	5.823657112699198e-13
Spp1	3.921827032862948e-16	-12.497951503210771	0.115	0.175	7.843654065725896e-13
Ppil6	5.941837315087351e-16	-4.878484106596975	0.036	0.101	1.1883674630174702e-12
1810062G17Rik	5.959675066381184e-16	-6.517449119867278	0.453	0.118	1.191935013276237e-12
Anp32e	6.867896682807281e-16	3.247201952059216	0.708	0.39	1.373579336561456e-12
A3galt2	6.900089241320193e-16	-5.663739587761082	0.016	0.12	1.3800178482640387e-12
Cks2	7.758978860074708e-16	-11.069357831178632	0.589	0.248	1.5517957720149415e-12
Gm23287	1.067275965949733e-15	-13.683910375476966	0.432	0.142	2.1345519318994658e-12
Aurkb	1.1154491863162298e-15	-7.310707840278125	0.557	0.183	2.2308983726324596e-12
Tmc7	1.1373084815736907e-15	-8.41617487860903	0.146	0.165	2.2746169631473816e-12
Xkrx	1.3301695156708808e-15	-7.781026311741893	0.099	0.205	2.6603390313417617e-12
Thsd1	1.4584980336083104e-15	-14.471355272490648	0.052	0.143	2.916996067216621e-12
St3gal6	1.5494786287409908e-15	-5.1284490077104925	0.12	0.139	3.0989572574819815e-12
Grtp1	1.681814043099389e-15	-8.2888348529711	0.089	0.15	3.363628086198778e-12
Lypd6b	1.9629262152662315e-15	-4.398526568330102	0.323	0.194	3.925852430532463e-12
Cmpk2	2.020742598581606e-15	-12.94570956385659	0.161	0.18	4.041485197163212e-12
Slc47a2	2.2371726589717734e-15	-13.584778534398422	0.068	0.173	4.474345317943547e-12
Zmynd10	3.1734586317441158e-15	-14.165357924637265	0.094	0.155	6.346917263488232e-12
Pcna	3.3429283741145253e-15	-4.180761109248561	0.62	0.318	6.685856748229051e-12
Nfkbiz	3.5149378225731214e-15	-12.543393586795682	0.083	0.137	7.029875645146243e-12
Rundc3a	3.886469218885551e-15	-6.090542545330593	0.057	0.146	7.772938437771103e-12
Nap1l1	5.157402896636262e-15	-0.4292135776709527	0.682	0.379	1.0314805793272524e-11
Trav21-dv12	7.073613558630167e-15	2.334840035698221	0.359	0.156	1.4147227117260335e-11
Fabp4	8.284974199767844e-15	-7.946622018293662	0.068	0.146	1.6569948399535687e-11
Incenp	8.30044767398846e-15	-5.3920496479273154	0.495	0.198	1.660089534797692e-11
Gm525	9.832714549304333e-15	-10.524040690945057	0.484	0.236	1.9665429098608666e-11
Tspan17	1.122226763595979e-14	-13.47075722320627	0.047	0.131	2.244453527191958e-11
Lgals4	1.2536118323669072e-14	-5.694189339321337	0.078	0.191	2.5072236647338143e-11
Pnpo	1.3403440578207947e-14	-10.096794356649959	0.141	0.157	2.6806881156415894e-11
Mmp14	1.6954126520665046e-14	-12.878631437110835	0.26	0.158	3.3908253041330094e-11
Rnf122	1.910783365058929e-14	-11.393082731252955	0.073	0.123	3.821566730117858e-11
Col23a1	1.9860827406417402e-14	-13.609652301322523	0.062	0.131	3.9721654812834804e-11
Fbln1	2.555880265508561e-14	-13.351239575396455	0.047	0.124	5.111760531017122e-11
Exosc2	2.594031496111638e-14	-13.516328514282785	0.453	0.238	5.1880629922232765e-11
Mis18bp1	2.6264607635489814e-14	-6.196060096144258	0.49	0.174	5.252921527097963e-11
Pou4f1	2.849451998021551e-14	-11.824073451817714	0.115	0.17	5.698903996043102e-11
Rasgrp4	3.7695974499368244e-14	-5.715537308342408	0.38	0.238	7.539194899873649e-11
Zscan25	3.827773796260947e-14	-6.452869224268756	0.052	0.155	7.655547592521893e-11
Trim62	4.1547618375457007e-14	-13.806450181275245	0.026	0.16	8.309523675091401e-11
Ccl4	4.486281003286756e-14	-14.33122723073503	0.115	0.121	8.972562006573511e-11
Reep2	4.711190144477657e-14	-11.489272639511398	0.062	0.175	9.422380288955314e-11
Ube2s	5.773637941126588e-14	-5.750097471243061	0.641	0.373	1.1547275882253177e-10
Hmgb1	5.9762673299769e-14	-3.9862837297642906	0.734	0.497	1.19525346599538e-10
Dnmbp	6.305002859734355e-14	-13.324912511069215	0.042	0.194	1.261000571946871e-10
Tdo2	6.458725225472678e-14	-13.426665768064652	0.073	0.129	1.2917450450945355e-10
Gm22105	6.569598303658905e-14	-13.418122421316832	0.089	0.194	1.313919660731781e-10
Ran	6.704381943509415e-14	-2.589938061657419	0.682	0.396	1.3408763887018828e-10
Kcnab1	7.549001354592358e-14	-14.636598156723997	0.099	0.19	1.5098002709184716e-10
A730071L15Rik	7.91044912640899e-14	-8.194663798747857	0.193	0.193	1.582089825281798e-10
Trbv1	9.070898873369281e-14	-5.961409949579641	0.438	0.202	1.8141797746738563e-10
Snhg11	9.724809161096969e-14	-11.063824186165736	0.104	0.116	1.9449618322193938e-10
Dctpp1	1.0757400842949521e-13	-2.6271020466636124	0.604	0.284	2.151480168589904e-10
Akap12	1.1188568712854099e-13	-12.843940578450919	0.151	0.175	2.2377137425708197e-10
Mcm6	1.4794069805869298e-13	-4.934046528743909	0.568	0.245	2.9588139611738595e-10
Shpk	1.499563923276066e-13	-10.65569227719519	0.115	0.186	2.9991278465521323e-10
Cysltr2	1.8184103697254082e-13	-12.820502784654995	0.052	0.132	3.6368207394508164e-10
S100a4	2.0872632600323145e-13	-9.565950115311702	0.203	0.092	4.174526520064629e-10
Pacsin1	2.4094348625365786e-13	-6.305927716144115	0.099	0.157	4.818869725073157e-10
Siglecg	2.674738170804225e-13	-13.69657353755796	0.349	0.112	5.34947634160845e-10
Myo5b	2.7591377310620643e-13	-14.350516749535414	0.411	0.196	5.518275462124129e-10
Podxl2	2.783515746775926e-13	-8.127978354014761	0.229	0.176	5.567031493551852e-10
Fcrl1	2.9642602255531315e-13	-13.953028225425856	0.417	0.144	5.928520451106263e-10
Dnhd1	3.254084894568671e-13	-13.206235391085754	0.13	0.196	6.508169789137342e-10
Il11ra1	3.380537582081362e-13	-14.097950736887688	0.01	0.102	6.761075164162724e-10
Trib3	3.914924944622654e-13	-5.424785619038484	0.083	0.186	7.829849889245308e-10
B230359F08Rik	4.381297262415044e-13	-8.49839155539535	0.318	0.144	8.762594524830088e-10
Akap5	4.5054805168032575e-13	-6.297320343565045	0.203	0.184	9.010961033606515e-10
Wnk2	4.792720601221797e-13	4.004162381454339	0.099	0.171	9.585441202443593e-10
Abca5	5.019449211267849e-13	-5.220398875288805	0.104	0.135	1.0038898422535699e-9
Gm23887	5.609478624962161e-13	-14.184505494490109	0.411	0.154	1.1218957249924322e-9
Xlr	6.291121370297524e-13	-4.469739681065379	0.094	0.137	1.2582242740595049e-9
Mamdc4	6.343253498834274e-13	-14.646094590856665	0.411	0.224	1.2686506997668548e-9
Trav19	6.770247193665036e-13	-14.546907770021027	0.411	0.168	1.3540494387330071e-9
Gm23245	7.421361090419655e-13	-13.980697001165979	0.036	0.184	1.4842722180839309e-9
Nkapl	8.957150559000368e-13	-10.93619504475811	0.062	0.169	1.7914301118000736e-9
Gm25379	9.131505849902932e-13	-5.865917058881481	0.094	0.209	1.8263011699805863e-9
Sgip1	9.622126776563798e-13	-1.8447087154739243	0.125	0.191	1.9244253553127597e-9
Gm4951	9.941667413602499e-13	-11.771146712265134	0.208	0.224	1.9883334827205e-9
Ifitm10	9.949843678024432e-13	-13.251602876371534	0.417	0.179	1.9899687356048863e-9
Cdk1	1.0051104938264278e-12	-11.116492023140388	0.589	0.214	2.0102209876528558e-9
Npm2	1.0357509648486996e-12	-9.56192329065884	0.094	0.206	2.0715019296973994e-9
Sema6b	1.0827104578484084e-12	-10.40105438716188	0.089	0.128	2.1654209156968167e-9
Ankrd6	1.1245237629578906e-12	-4.071693619697477	0.333	0.201	2.249047525915781e-9
Apol9a	1.6804248200691347e-12	-11.208542354287275	0.099	0.141	3.3608496401382695e-9
Ica1l	1.7140152437451965e-12	-0.6991789029892388	0.51	0.223	3.4280304874903933e-9
Trbv4	1.9766754404165857e-12	-7.012318362910753	0.401	0.197	3.9533508808331715e-9
Gm28043	2.030386721852338e-12	-3.8743108356693643	0.104	0.274	4.060773443704676e-9
Kctd4	2.099252914760503e-12	-13.410097831844253	0.083	0.141	4.198505829521005e-9
Pld6	2.303056832187446e-12	-13.72450116150484	0.057	0.177	4.606113664374893e-9
Nyap1	2.7500403767944925e-12	-8.081303212962293	0.255	0.236	5.500080753588985e-9
Tmem176a	2.8589493240828337e-12	-15.671138620603728	0.115	0.105	5.717898648165668e-9
Nucks1	2.973825564093176e-12	-2.848524948215711	0.599	0.357	5.9476511281863524e-9
Hus1b	4.85744303380411e-12	-13.769818487221425	0.047	0.16	9.71488606760822e-9
Zfp839	4.952904654840751e-12	-12.078817910408207	0.021	0.157	9.905809309681502e-9
Hist1h1c	5.026296543171819e-12	-7.640649893418552	0.526	0.255	1.0052593086343639e-8
Ifi44	5.058441983887868e-12	-11.08891689872558	0.234	0.166	1.0116883967775735e-8
Mia2	5.2928089822296585e-12	-6.607890100886889	0.677	0.399	1.0585617964459317e-8
Nr6a1	5.6331088535639825e-12	-13.546174478000795	0.146	0.165	1.1266217707127966e-8
Xkr6	6.511467763237755e-12	-7.740541028636508	0.068	0.213	1.302293552647551e-8
Rcn3	6.771018315758653e-12	-3.300019481366153	0.245	0.101	1.3542036631517305e-8
Tmem116	6.928592196198213e-12	-6.5054084127742176	0.042	0.1	1.3857184392396426e-8
Cdkn1a	7.331959643349482e-12	-12.480757957598263	0.297	0.105	1.4663919286698963e-8
Lysmd2	7.539608752610255e-12	-10.628391599115684	0.198	0.164	1.507921750522051e-8
Star	9.065593753889234e-12	-8.193044677474344	0.052	0.183	1.8131187507778466e-8
Sobp	1.082363786489686e-11	-5.5063010152013785	0.042	0.139	2.164727572979372e-8
Spef1	1.103017232387871e-11	-8.474437069625743	0.021	0.167	2.206034464775742e-8
Hist1h3c	1.2667923331876098e-11	-3.524720983567228	0.484	0.158	2.5335846663752196e-8
Smc2	1.307414715792831e-11	0.8225843543092175	0.573	0.281	2.614829431585662e-8
Rtn4rl1	1.5420955434682965e-11	-9.688430614494193	0.047	0.139	3.084191086936593e-8
Rel	1.8360613260857933e-11	-13.748650288364214	0.109	0.146	3.672122652171587e-8
Crispld2	1.977999191368749e-11	2.5302722083718354	0.354	0.164	3.955998382737498e-8
Hspb8	2.1511443835112313e-11	-14.170952509770522	0.036	0.114	4.302288767022463e-8
Rab20	2.3009780134304756e-11	-14.135119257920548	0.078	0.126	4.601956026860951e-8
Ndrg4	2.305912083824296e-11	-4.798206779048568	0.052	0.174	4.611824167648592e-8
Zfp711	2.708768811999773e-11	-6.63429024331859	0.443	0.183	5.4175376239995464e-8
Cacna2d4	2.913144943706368e-11	-12.795209740590641	0.312	0.171	5.826289887412736e-8
Ndrg3	2.945589963129688e-11	-9.944185365107343	0.156	0.211	5.8911799262593763e-8
Irf8	3.171737460985819e-11	-7.42285329082889	0.13	0.101	6.343474921971638e-8
Vwa1	3.2714828072068025e-11	-14.45517958352277	0	0.128	6.542965614413604e-8
Plxna3	3.563367339406488e-11	-5.410156729394679	0.047	0.213	7.126734678812976e-8
Phf11d	3.587374592633736e-11	-13.174703899819395	0.125	0.105	7.174749185267472e-8
Uchl4	3.6527225018148985e-11	-11.153943383381996	0.193	0.172	7.305445003629797e-8
Trbv31	3.8202343000146265e-11	-9.030384111680462	0.078	0.242	7.640468600029253e-8
Adcy9	4.036928975924702e-11	-10.49545872496101	0.062	0.167	8.073857951849404e-8
Sema4f	4.0418353950122755e-11	-5.885306234007044	0.448	0.156	8.083670790024551e-8
Rab11fip3	4.4476350585218364e-11	-9.221833400016209	0.094	0.215	8.895270117043673e-8
Fam221b	4.678796949658144e-11	4.09717627319589	0.109	0.189	9.357593899316288e-8
Cenpe	4.899979564369005e-11	-5.15162996607658	0.391	0.183	9.79995912873801e-8
Rhob	5.251419269815856e-11	-13.266182451927753	0.146	0.121	1.0502838539631712e-7
Ccr5	6.819896321533006e-11	-13.708271435108983	0.062	0.102	1.3639792643066014e-7
Ifitm2	7.052032814982601e-11	-13.317019457265083	0.318	0.133	1.41040656299652e-7
Gpr183	7.367207798913423e-11	2.51179275330715	0.208	0.099	1.4734415597826848e-7
Adamts6	7.914522570730797e-11	-9.143427763363896	0.068	0.154	1.5829045141461595e-7
Cpsf4l	8.397097172026574e-11	-13.81806468536994	0.234	0.167	1.6794194344053147e-7
Slpi	8.701159398023614e-11	-14.248049684563085	0.089	0.108	1.740231879604723e-7
Tnfsf14	9.048004376894734e-11	-14.495519533622703	0.359	0.18	1.809600875378947e-7
Gm23054	9.282592572231302e-11	-7.0989898898661	0.047	0.135	1.8565185144462603e-7
Hint1	9.383390124413977e-11	-2.4618409070303704	0.646	0.388	1.8766780248827953e-7
Tpx2	9.390425029186314e-11	-10.264043742408605	0.417	0.185	1.8780850058372627e-7
Aldh1a3	9.91645472854988e-11	-12.802365120745723	0.307	0.161	1.983290945709976e-7
Rdh10	1.0858849840765893e-10	-8.033330322099003	0.26	0.238	2.1717699681531786e-7
Siva1	1.147794643268225e-10	-2.2203844337454353	0.568	0.302	2.29558928653645e-7
Ly6d	1.1792705779372602e-10	-5.125738975659239	0.234	0.165	2.3585411558745203e-7
Itga10	1.2414916891856049e-10	-4.661564263118027	0.156	0.182	2.48298337837121e-7
Phf11b	1.3395237985763047e-10	-12.5549580450119	0.193	0.133	2.6790475971526095e-7
Eaf2	1.3895301242666514e-10	-9.879357991806984	0.068	0.154	2.779060248533303e-7
Lnx1	1.4303617146529217e-10	-13.423836862100437	0.036	0.199	2.860723429305843e-7
Amotl1	1.668065453444341e-10	-14.256764904490744	0.214	0.105	3.336130906888682e-7
